,Family 1,Family 2,Scicore 1,Scicore 2,Diff Score
0,,,,,
1,ImminentMonitor,ImminentMonitor,False,False,27.0
2,,,,,
3,,,,,
4,,,,,
5,,,,,
6,,,,,
7,,,,,
8,,,,,
9,,,,,
10,ImminentMonitor,ImminentMonitor,False,False,29.0
11,ImminentMonitor,ImminentMonitor,False,False,60.0
12,ImminentMonitor,ImminentMonitor,False,False,71.0
13,ImminentMonitor,ImminentMonitor,False,False,63.0
14,,,,,
15,ImminentMonitor,ImminentMonitor,False,False,61.0
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,ImminentMonitor,ImminentMonitor,False,False,40.0
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,ImminentMonitor,ImminentMonitor,False,False,32.0
28,,,,,
29,ImminentMonitor,LeetMX,False,False,47.0
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,ImminentMonitor,ImminentMonitor,False,False,63.0
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,ImminentMonitor,ImminentMonitor,False,False,25.0
42,,,,,
43,,,,,
44,,,,,
45,ImminentMonitor,ImminentMonitor,False,False,47.0
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,
51,ImminentMonitor,ImminentMonitor,False,False,25.0
52,ImminentMonitor,ImminentMonitor,False,False,63.0
53,ImminentMonitor,ImminentMonitor,False,False,50.0
54,,,,,
55,,,,,
56,,,,,
57,,,,,
58,,,,,
59,,,,,
60,,,,,
61,,,,,
62,,,,,
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,ImminentMonitor,Keybase,False,False,57.0
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,ImminentMonitor,LeetMX,False,False,71.0
86,,,,,
87,,,,,
88,ImminentMonitor,NetWireRAT,False,False,71.0
89,,,,,
90,,,,,
91,,,,,
92,ImminentMonitor,LeetMX,False,False,71.0
93,ImminentMonitor,Keybase,False,False,68.0
94,ImminentMonitor,ImminentMonitor,False,False,75.0
95,,,,,
96,,,,,
97,,,,,
98,,,,,
99,,,,,
100,,,,,
101,,,,,
102,,,,,
103,ImminentMonitor,LeetMX,False,False,68.0
104,,,,,
105,ImminentMonitor,NetWireRAT,False,False,74.0
106,,,,,
107,ImminentMonitor,ImminentMonitor,False,False,82.0
108,,,,,
109,,,,,
110,,,,,
111,,,,,
112,,,,,
113,,,,,
114,,,,,
115,,,,,
116,,,,,
117,,,,,
118,,,,,
119,,,,,
120,ImminentMonitor,ImminentMonitor,False,False,82.0
121,,,,,
122,,,,,
123,ImminentMonitor,ImminentMonitor,False,False,27.0
124,,,,,
125,,,,,
126,,,,,
127,,,,,
128,,,,,
129,,,,,
130,,,,,
131,ImminentMonitor,ImminentMonitor,False,False,35.0
132,,,,,
133,,,,,
134,,,,,
135,,,,,
136,,,,,
137,,,,,
138,,,,,
139,,,,,
140,,,,,
141,,,,,
142,,,,,
143,,,,,
144,,,,,
145,,,,,
146,,,,,
147,,,,,
148,,,,,
149,,,,,
150,,,,,
151,,,,,
152,,,,,
153,,,,,
154,,,,,
155,ImminentMonitor,ImminentMonitor,False,False,43.0
156,,,,,
157,,,,,
158,,,,,
159,,,,,
160,,,,,
161,,,,,
162,ImminentMonitor,ImminentMonitor,False,False,54.0
163,ImminentMonitor,ImminentMonitor,False,False,32.0
164,ImminentMonitor,ImminentMonitor,False,False,75.0
165,,,,,
166,,,,,
167,,,,,
168,ImminentMonitor,ImminentMonitor,False,False,66.0
169,,,,,
170,,,,,
171,ImminentMonitor,ImminentMonitor,False,False,60.0
172,,,,,
173,,,,,
174,,,,,
175,,,,,
176,Infy,Infy,False,False,58.0
177,Infy,Infy,False,False,97.0
178,Infy,Infy,False,False,79.0
179,Infy,Infy,False,False,88.0
180,Infy,Infy,False,False,71.0
181,Infy,Infy,False,False,80.0
182,Infy,Infy,False,False,43.0
183,Infy,Infy,False,False,79.0
184,Infy,Infy,False,False,77.0
185,Infy,Infy,False,False,83.0
186,Infy,Infy,False,False,88.0
187,Infy,Infy,False,False,88.0
188,Infy,Infy,False,False,71.0
189,Infy,Infy,False,False,91.0
190,,,,,
191,Infy,Infy,False,False,44.0
192,Infy,Infy,False,False,68.0
193,SamsamRansomware,Infy,False,False,69.0
194,Infy,Infy,False,False,54.0
195,Infy,Infy,False,False,69.0
196,,,,,
197,Infy,Infy,False,False,97.0
198,Infy,Infy,False,False,99.0
199,,,,,
200,IcedId,IcedId,False,False,96.0
201,IcedId,IcedId,False,False,99.0
202,IcedId,IcedId,False,False,99.0
203,IcedId,IcedId,False,False,96.0
204,IcedId,IcedId,False,False,99.0
205,IcedId,IcedId,False,False,99.0
206,IcedId,IcedId,False,False,99.0
207,IcedId,IcedId,False,False,99.0
208,IcedId,IcedId,False,False,99.0
209,IcedId,IcedId,False,False,97.0
210,IcedId,IcedId,False,False,99.0
211,IcedId,IcedId,False,False,99.0
212,IcedId,IcedId,False,False,99.0
213,IcedId,IcedId,False,False,99.0
214,IcedId,IcedId,False,False,97.0
215,IcedId,IcedId,False,False,94.0
216,IcedId,IcedId,False,False,99.0
217,IcedId,IcedId,False,False,97.0
218,Icefrog,Icefrog,False,False,83.0
219,Icefrog,Icefrog,False,False,77.0
220,Icefrog,Icefrog,False,False,96.0
221,,,,,
222,,,,,
223,,,,,
224,,,,,
225,,,,,
226,Icefrog,Icefrog,False,False,83.0
227,Icefrog,Icefrog,False,False,96.0
228,Icefrog,Icefrog,False,False,75.0
229,Icefrog,Icefrog,False,False,99.0
230,,,,,
231,,,,,
232,,,,,
233,Icefrog,Icefrog,False,False,96.0
234,,,,,
235,,,,,
236,Icefrog,Icefrog,False,False,88.0
237,Icefrog,Icefrog,False,False,96.0
238,,,,,
239,Icefrog,Icefrog,False,False,77.0
240,,,,,
241,,,,,
242,,,,,
243,Icefrog,Icefrog,False,False,86.0
244,,,,,
245,Icefrog,Icefrog,False,False,99.0
246,Icefrog,Icefrog,False,False,75.0
247,,,,,
248,,,,,
249,Icefrog,Icefrog,False,False,86.0
250,Icefrog,Icefrog,False,False,83.0
251,,,,,
252,,,,,
253,,,,,
254,Icefrog,Icefrog,False,False,88.0
255,,,,,
